supply_id,supply_name,supply_type,supplier_name,is_council,supply_population,protozoa_barrier,bacteria_barrier,residual_disinfection,dwsp_lodged,supplier_notifications_received_for_maybe_or_is_unsafe_water,supplier_notifications_received_for_mav_exceedance,laboratory_notifications_received_for_bacterial_mav_exceedance,laboratory_notifications_received_for_chemical_mav_exceedance,aluminium_mav_exceeded,arsenic_mav_exceeded,chlorate_mav_exceeded,chlorine_mav_exceeded,disinfection_by_product_mav_exceeded,lead_mav_exceeded,manganese_mav_exceeded,temporary_consumer_advisory_issued_in_2023,long_term_consumer_advisory_active_in_2023,total_number_of_days_in_2023_in_which_consumer_advisory_is_active
WC00235,North Harbour Water Carriers Ltd,Water carrier service,North Harbour Water Carriers Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OKI001,Okiwa Park,Networked supply,Okiwa Park Water Supply Incorporated,No,86,Yes,Yes,No,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00482,Cone Peak Farms Ltd,Water carrier service,RW & VA Harrington Trust,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAA002,Haast School,Self-supplied building,Ministry of Education,No,27,Yes,Yes,Not Applicable,No,0,0,2,0,No,No,No,No,No,No,No,No,No,0
LEI007,Leigh Hall,Self-supplied building,Auckland Council,Yes,100,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MTH001,Mt Hutt Ski Field,Self-supplied building,NZSki,No,500,Yes,No,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAU017,Tauhei Combined School,Self-supplied building,Ministry of Education,No,80,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
BUM001,Bumblebees Childcare Centre Whitford,Self-supplied building,Bumblebees Whitford Limited,No,85,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
KAR022,Karangahape Marae Trust,Self-supplied building,Karangahape Marae,No,500,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
GRE001,Greater Greymouth,Networked supply,Grey District Council,Yes,8320,No,Yes,Yes,Yes,1,0,0,0,No,No,No,No,No,No,No,No,Yes,328
WIN004,Windsor,Networked supply,Waitaki District Council,Yes,137,No,Yes,Yes,Yes,4,0,0,0,No,No,No,No,No,No,No,No,Yes,76
WC00236,Maraetai Blue Ltd,Water carrier service,Maraetai Blue Limited,No,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00319,Water Direct,Water carrier service,Riano Holdings Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00483,True Blue Water,Water carrier service,True Blue Water,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ASH004,Ashley Gorge,Networked supply,Waimakariri District Council,Yes,293,Not determined,Not determined,Not determined,Yes,1,0,0,0,No,No,No,No,No,No,No,Yes,No,23
HAL003,Halfmoon Bay School,Self-supplied building,Ministry of Education,No,70,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LEI003,Leigh School,Self-supplied building,Ministry of Education,No,60,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MTJ001,Mt John Observatory,Self-supplied building,University of Canterbury,No,17,Not Applicable,No,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
PER001,Peria School,Self-supplied building,Ministry of Education,No,80,Yes,Yes,Not Applicable,Yes,1,1,1,0,No,No,No,No,No,No,No,Yes,No,8
TAU031,Tauhoa Hall,Self-supplied building,Auckland Council,Yes,100,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WAI171,Waiatarua Playcentre,Self-supplied building,Playcentre Aotearoa,No,50,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00517,SJ Allen Holdings Limited,Water carrier service,SJ Allen Holdings Ltd,No,,Not Applicable,Not Applicable,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OHA005,Ohau Alpine Village,Networked supply,Waitaki District Council,Yes,36,No,No,No,Yes,2,0,2,0,No,No,No,No,No,No,No,No,Yes,365
OPU001,Opunake,Networked supply,South Taranaki District Council,Yes,1446,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
REP001,Reporoa,Networked supply,Rotorua Lakes Council,Yes,1500,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
PAP001,Papakura,Linked supply,Veolia Water Services (ANZ) Pty Ltd,No,48513,Not Applicable,Not Applicable,No,Yes,1,1,1,0,No,No,No,No,No,No,No,No,No,0
OPA001,Opaki Water Supply Association Incorporated,Networked supply,Opaki Water Supply Association,No,1800,Yes,Yes,No,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00484,Raglan Water,Water carrier service,Raglan Water 2021 Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAR002,Harrisville School,Self-supplied building,Ministry of Education,No,220,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAU010,Tauhoa School,Self-supplied building,Ministry of Education,No,60,Yes,Yes,Not Applicable,No,1,1,1,0,No,No,No,No,No,No,No,Yes,No,17
WAI222,Waitawa Regional Park,Networked supply,Auckland Council,Yes,400,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TIK009,Tikao Bay,Networked supply,Tikao Bay Boating Club Incorporated,No,10,Not Applicable,No,No,No,0,0,1,0,No,No,No,No,No,No,No,No,No,0
CUL001,Culverden,Networked supply,Hurunui District Council,Yes,366,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OMA001,Omarama,Networked supply,Waitaki District Council,Yes,270,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
COA007,Coastal Purewater,Water carrier supply,Coastal Purewater,No,,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
RAH001,Rahotu,Networked supply,South Taranaki District Council,Yes,144,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ROT001,Rotorua East,Networked supply,Rotorua Lakes Council,Yes,13000,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
BUR004,Burnside Road,Linked supply,Veolia Water Services (ANZ) Pty Ltd,No,352,Not Applicable,Not Applicable,No,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
RAP300,Rapley Close,Networked supply,Rapley Close Residents,No,40,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ATI003,Atiu Creek Regional Park,Networked supply,Auckland Council,Yes,400,Yes,Yes,No,Yes,0,2,0,3,No,No,Yes,No,No,No,No,No,No,0
HAT002,Hatea-A-Rangi,Self-supplied building,Ministry of Education,No,80,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LIC002,Lichfield School,Self-supplied building,Ministry of Education,No,140,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MTO001,Mt Olympus Ski Field,Self-supplied building,Mt Olympus Skifield,No,80,No,No,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
PIN004,Pine Valley Outdoor Centre Trust (Inc),Self-supplied building,Pine Valley Outdoor Centre Trust,No,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAU013,Taupaki School,Self-supplied building,Ministry of Education,No,300,Yes,Yes,Not Applicable,No,0,0,1,0,No,No,No,No,No,No,No,No,No,0
WAI118,Waiau Pa Kindergarten,Self-supplied building,Waiau Pa Kindergarten,No,65,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,1,0,No,No,No,No,No,No,No,No,No,0
ACH002,Anchorage Campsite,Networked supply,Department of Conservation,No,300,Yes,Yes,No,Yes,0,0,0,0,No,No,No,No,No,No,No,No,Yes,365
ASH002,Ashley Rural,Networked supply,Hurunui District Council,Yes,4527,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OAM001,Oamaru,Networked supply,Waitaki District Council,Yes,15713,Yes,Yes,Yes,Yes,0,1,0,1,No,No,No,No,No,Yes,No,No,No,0
PAT001,Patea,Networked supply,South Taranaki District Council,Yes,1310,No,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ROT002,Rotoma,Networked supply,Rotorua Lakes Council,Yes,500,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
QUE008,"Queensbury, Indigo Scheme",Networked supply,Indigo Water Co. Limited,No,70,No,No,No,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HIG300,Highland Springs,Networked supply,Highland Springs Water Company Limited,No,60,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
AUS001,Aussie Bay Campsite,Networked supply,Department of Conservation,No,40,No,No,No,No,0,0,0,0,No,No,No,No,No,No,No,No,Yes,67
LIM001,Limehills School,Self-supplied building,Ministry of Education,No,190,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MUL001,Mulberry Grove School,Self-supplied building,Ministry of Education,No,40,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,1,0,No,No,No,No,No,No,No,No,No,0
PIP001,"Pipiriki, DOC Field Centre",Self-supplied building,Department of Conservation,No,3,Not Applicable,No,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,Yes,67
WAI096,Waiau Pa School,Self-supplied building,Ministry of Education,No,332,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00507,Independent Pipeline Services,Water carrier service,Independent Pipeline Services,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
BLY001,Blythe,Networked supply,Hurunui District Council,Yes,42,No,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OTE001,Otematata,Networked supply,Waitaki District Council,Yes,195,Yes,Yes,Yes,Yes,0,0,0,1,No,No,No,No,No,Yes,No,No,No,0
WAI018,Waimate West,Networked supply,South Taranaki District Council,Yes,2635,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ROT003,Rotorua Central,Networked supply,Rotorua Lakes Council,Yes,44000,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00322,Temuka Transport 1967 Ltd,Water carrier service,Temuka Transport (1967) Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
JAC002,Jack's Point,Networked supply,Coneburn Water Supply Co Limited,No,1700,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
PIG300,Pigeon Rock Water Supply,Networked supply,Pigeon Rock Water Supply Company Limited,No,32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
AWA012,Awahono School - Grey Valley,Self-supplied building,Ministry of Education,No,100,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAU007,Hautapu School,Self-supplied building,Ministry of Education,No,225,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LIN003,Lincoln University,Networked supply,Lincoln University,No,5000,Not Applicable,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MUR008,Muriwai Regional Park,Networked supply,Auckland Council,Yes,400,No,No,No,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
PIR003,Piripiri School,Self-supplied building,Ministry of Education,No,17,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,Yes,193
TAU005,Tauraroa Area School,Self-supplied building,Ministry of Education,No,450,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WAI094,Waiharara School,Self-supplied building,Ministry of Education,No,40,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
BAL003,Balmoral Rural,Networked supply,Hurunui District Council,Yes,273,No,Yes,Yes,Yes,1,0,0,0,No,No,No,No,No,No,No,Yes,Yes,33
STO001,Stoneburn,Networked supply,Waitaki District Council,Yes,86,No,Yes,Yes,Yes,1,0,0,0,No,No,No,No,No,No,No,No,Yes,74
SOL001,Solway Water bore,Water carrier supply,Artesian & Solway Water Limited,No,,Not determined,No,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WAI020,Wairoa Beach Domain aka Waverley Beach,Networked supply,South Taranaki District Council,Yes,36,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
ROT004,Rotoiti,Networked supply,Rotorua Lakes Council,Yes,1000,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
RAU001,Raurimu,Networked supply,Raurimu Residents & Ratepayers Society (Incorporated),No,60,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00485,Waste Away South Ltd,Water carrier service,Waste Away South Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
AWA004,Awahou School,Self-supplied building,Ministry of Education,No,37,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LIN006,Linkwater School,Self-supplied building,Ministry of Education,No,50,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MUR007,Muriwai School,Self-supplied building,Ministry of Education,No,39,Yes,Yes,Not Applicable,No,0,0,2,0,No,No,No,No,No,No,No,Yes,No,28
PIT001,Pitt Island School,Self-supplied building,Ministry of Education,No,9,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAU008,Tautoro School,Self-supplied building,Ministry of Education,No,60,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
AMU001,Amuri Plains Rural Water Sup.,Networked supply,Hurunui District Council,Yes,699,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TOK003,Tokarahi/Livingstone,Networked supply,Waitaki District Council,Yes,573,No,Yes,Yes,Yes,1,0,0,0,No,No,No,No,No,No,No,No,Yes,76
WAI021,Wai-inu Beach,Networked supply,South Taranaki District Council,Yes,72,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAM003,Hamurana/Kaharoa,Networked supply,Rotorua Lakes Council,Yes,2500,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00327,Isacc Construction Ltd - Simcox Division,Water carrier service,Issac Group Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
RAU006,Ngati Pahauwera Inc Soc,Networked supply,Ngati Pahauwera Inc Soc,No,250,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
FRA004,Franz Alpine Resort,Networked supply,Gamo Resources Limited,No,90,Yes,Yes,No,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
AWA011,Awahuri Hall,Self-supplied building,Manawatu Rangitikei Shared Services,No,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAU006,Hauturu School,Self-supplied building,Ministry of Education,No,50,Yes,Yes,Not Applicable,No,2,1,1,0,No,No,No,No,No,No,No,No,No,39
MYR001,Myross Bush School,Self-supplied building,Ministry of Education,No,187,Yes,Yes,Not Applicable,No,0,0,1,0,No,No,No,No,No,No,No,No,No,0
POH004,Pohangina Hall,Self-supplied building,Manawatu Rangitikei Shared Services,No,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAU023,Tautuku Outdoor Ed. Centre,Self-supplied building,Otago Youth Adventure Trust Inc,No,140,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WAI223,Waiheke Artworks Building,Self-supplied building,Auckland Council,Yes,100,Yes,Yes,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAW001,Waikari Basin,Networked supply,Hurunui District Council,Yes,1350,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
KAU001,Kauru Hill,Networked supply,Waitaki District Council,Yes,197,No,Yes,Yes,Yes,6,0,0,0,No,No,No,No,No,No,No,Yes,Yes,285
HAW003,Hawera,Networked supply,South Taranaki District Council,Yes,11761,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
NGO001,Ngongotaha,Networked supply,Rotorua Lakes Council,Yes,5000,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00328,Island Water,Water carrier service,Island Water Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TER008,Te Rerenga School,Networked supply,Ministry of Education,No,50,Yes,Yes,No,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00486,Wai Ora,Water carrier service,Marcus Beattie,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
AWA008,Awanui School,Self-supplied building,Ministry of Education,No,99,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
POH005,Pohangina School Reserve,Self-supplied building,Manawatu Rangitikei Shared Services,No,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAU022,Tauwhare School,Self-supplied building,Ministry of Education,No,105,Yes,Yes,Not Applicable,No,0,0,1,0,No,No,No,No,No,No,No,No,No,0
WAI168,Waiheke Community Childcare,Self-supplied building,Waiheke Community Childcare Centre Incorporated,No,40,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
CAM009,Camp Glenorchy,Self-supplied building,Pounamu Holdings 2014 Limited,No,80,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00529,West City Construction Ltd,Water carrier service,West City Construction Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
CHE001,Cheviot,Networked supply,Hurunui District Council,Yes,888,No,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LOW004,"Lower Waitaki, Rural",Networked supply,Waitaki District Council,Yes,778,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
INA001,Inaha,Networked supply,South Taranaki District Council,Yes,561,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
MAM001,Mamaku,Networked supply,Rotorua Lakes Council,Yes,1000,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
WC00329,Wet Azz Limited,Water carrier service,Wet Azz Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
KAI001,Kaiwhaiki Pa,Networked supply,Kaiwhaiki Marae Committee,No,90,Yes,Yes,No,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TUK001,Tukurua,Networked supply,Tukurua Water Supply Society Incorporated,No,100,No,No,No,No,0,0,1,0,No,No,No,No,No,No,No,No,Yes,365
WC00487,Water Wagon,Water carrier service,Robson Plumbing Services Limited,No,,Not Applicable,Not Applicable,Not Applicable,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
HAW004,Hawea Flat School,Self-supplied building,Ministry of Education,No,129,No,No,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LOC001,Lochiel School,Self-supplied building,Ministry of Education,No,100,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
NEW007,Newbury Hall,Self-supplied building,The Newbury Hall (2000) Incorporated,No,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
POK002,Pokuru School,Self-supplied building,Ministry of Education,No,150,Yes,Yes,Not Applicable,No,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TAW002,Tawanui Campsite,Networked supply,Department of Conservation,No,60,No,No,No,No,0,0,0,0,No,No,No,No,No,No,No,No,Yes,67
WAI163,Waiheke Community Rec Centre,Self-supplied building,Waiheke Recreation Centre Trust,No,432,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
TEO002,Te One Transfer Station,Self-supplied building,Chatham Islands Council,Yes,2,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
LOW010,Lower Waitohi,Networked supply,Hurunui District Council,Yes,315,No,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
KUR001,Kurow,Networked supply,Waitaki District Council,Yes,330,Yes,Yes,Yes,Yes,0,1,0,1,No,No,No,No,No,Yes,No,No,No,0
WAV001,Waverley,Networked supply,South Taranaki District Council,Yes,878,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
OTA001,Otautau,Networked supply,Southland District Council,Yes,798,Yes,Yes,Yes,Yes,0,0,0,0,No,No,No,No,No,No,No,No,No,0
KAK002,Kakahi Water Supply Society Incorporated,Networked supply,Kakahi Water Supply Society Incorporated,No,78,No,No,No,No,0,0,0,0,No,No,No,No,No,No,No,No,Yes,365
WAI213,Waikuku Village Subdivision,Networked supply,Waikuku Village Limited,No,39,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0,0,No,No,No,No,No,No,No,No,No,0
